Facility Type,Facility Number,Facility Name,Licensee,Facility Administrator,Facility Telephone Number,Facility Address,Facility City,Facility State,Facility Zip,County Name,Regional Office,Facility Capacity,Facility Status,License First Date,Closed Date
ADULT DAY PROGRAM,75600130,A BETTER CHANCE DAY PROGRAM,CALIFORNIA AUTISM FOUNDATION;DBA A BETTER CHANCE,DANIELA ROBLES,(510) 758-0433,4075 LAKESIDE DRIVE,RICHMOND,CA,94806,CONTRA COSTA,15,75,LICENSED,10/30/1996,
ADULT DAY PROGRAM,286803618,A BRIGHT FUTURE ACADEMY,"A BRIGHT FUTURE, INC.","KONAN, MAXIME",(510) 692-1804,3419 BROADWAY STREET H 4-5-6,AMERICAN CANYON,CA,94503,NAPA,21,45,LICENSED,5/19/2016,
ADULT DAY PROGRAM,397005472,A DAY AWAY,O'CONNOR WOODS HOUSING CORPORATION,"LEAL-MALLETE, PENNY",(209) 956-3400,3550 WAGNER HEIGHTS RD,STOCKTON,CA,95209,SAN JOAQUIN,27,15,LICENSED,5/29/2014,
ADULT DAY PROGRAM,347003578,A FAMILY AFFAIR BRIDGES,"MITCHELL, CAROLYN","MITCHELL, CAROLYN",(916) 393-9682,7395 GREENHAVEN DRIVE,SACRAMENTO,CA,95831,SACRAMENTO,27,100,LICENSED,5/18/2006,
ADULT DAY PROGRAM,347004235,A FAMILY AFFAIR CONNECTION,"MITCHELL, CAROLYN R.","MITCHELL, CAROLYN",(916) 456-2451,3521 BROADWAY,SACRAMENTO,CA,95817,SACRAMENTO,27,30,LICENSED,10/23/2008,
ADULT DAY PROGRAM,347004236,A FAMILY AFFAIR CONNECTION,"MITCHELL, CAROLYN R.","MITCHELL, CAROLYN",(916) 919-4590,3525 BROADWAY,SACRAMENTO,CA,95817,SACRAMENTO,27,30,LICENSED,10/23/2008,
ADULT DAY PROGRAM,347005678,A FAMILY AFFAIR CONNECTION INC,A FAMILY AFFAIR CONNECTION INC,"MITCHELL, KASSIA",(916) 919-4590,10395 OLD PLACERVILLE RD 200,SACRAMENTO,CA,95827,SACRAMENTO,27,30,LICENSED,8/11/2016,
ADULT DAY PROGRAM,237005678,A FAMILY AFFAIR CONNECTION INC,A FAMILY AFFAIR CONNECTION INC,"MITCHELL, KASSIA",(916) 919-4590,10395 OLD PLACERVILLE RD 200,SACRAMENTO,CA,95827,MENDOCINO,27,30,PENDING,,
ADULT DAY PROGRAM,342700382,A FAMILY AFFAIR CONNECTION INC,A FAMILY AFFAIR CONNECTION INC,"MITCHELL, KASSIA",(916) 919-4590,3132 AUBURN BLVD,SACRAMENTO,CA,95821,SACRAMENTO,27,45,PENDING,,
ADULT DAY PROGRAM,97004240,A FAMILY AFFAIR CONNECTIONS-PLACERVILLE,"A FAMILY AFFAIR CONNECTION, INC","MITCHELL, CAROLYN",(530) 622-3172,4282 GOLDEN CENTER ROAD,PLACERVILLE,CA,95667,EL DORADO,27,45,LICENSED,3/16/2009,
ADULT DAY PROGRAM,317004612,A FAMILY AFFAIR CONNECTIONS INC.,"A FAMILY AFFAIR CONNECTIONS, INC.","MITCHELL, CAROLYN",(916) 802-6336,6590 COMMERCE WAY,DIAMOND SPRINGS,CA,95619,PLACER,27,30,CLOSED,7/23/2010,6/2/2015
ADULT DAY PROGRAM,19200396,"A FAMILY AFFAIR CONNECTION, INC.","A FAMILY AFFAIR CONNECTION, INC.",KASSIA MITCHELL-LUCERO,(916) 395-3788,841 MARINA VILLAGE PARKWAY,ALAMEDA,CA,94501,ALAMEDA,15,15,CLOSED,12/20/2010,12/1/2015
ADULT DAY PROGRAM,198601685,A HEALTHIER CHOICE DAY PROGRAM,"R.L. HARIS-WORTHAM, INC.",GEORGE MCFARLAND,(310) 672-0488,693 S. LA BREA AVENUE,INGLEWOOD,CA,90301,LOS ANGELES,28,45,LICENSED,12/11/2013,
